scenario,building,city,year,sql_path,extracted_at,interval_minutes,time_rows,representative_zone,abups_occupied_cooling_not_met_hours,abups_occupied_heating_not_met_hours,abups_time_not_comfortable_simple_ashrae55_hours,conditioned_building_area_m2,cooling_electricity_annual_gj,cooling_electricity_annual_kwh,cooling_electricity_min_kw,cooling_electricity_min_timestamp,cooling_electricity_min_w,cooling_electricity_peak_kw,cooling_electricity_peak_timestamp,cooling_electricity_peak_w,electricity_facility_annual_gj,electricity_facility_annual_kwh,electricity_facility_min_kw,electricity_facility_min_timestamp,electricity_facility_min_w,electricity_facility_peak_kw,electricity_facility_peak_timestamp,electricity_facility_peak_w,electricity_hvac_annual_gj,electricity_hvac_annual_kwh,electricity_hvac_min_kw,electricity_hvac_min_timestamp,electricity_hvac_min_w,electricity_hvac_peak_kw,electricity_hvac_peak_timestamp,electricity_hvac_peak_w,environment_period_index,facility_building_electricity_demand_rate_max_kw,facility_building_electricity_demand_rate_mean_kw,facility_building_electricity_demand_rate_min_kw,facility_cooling_setpoint_not_met_occupied_time_max_timestep_hours,facility_cooling_setpoint_not_met_occupied_time_total_hours,facility_cooling_setpoint_not_met_time_max_timestep_hours,facility_cooling_setpoint_not_met_time_total_hours,facility_heating_setpoint_not_met_occupied_time_max_timestep_hours,facility_heating_setpoint_not_met_occupied_time_total_hours,facility_heating_setpoint_not_met_time_max_timestep_hours,facility_heating_setpoint_not_met_time_total_hours,facility_hvac_electricity_demand_rate_max_kw,facility_hvac_electricity_demand_rate_mean_kw,facility_hvac_electricity_demand_rate_min_kw,facility_purchased_electricity_energy_peak_timestep_kwh,facility_purchased_electricity_energy_total_kwh,facility_purchased_electricity_rate_max_kw,facility_purchased_electricity_rate_mean_kw,facility_purchased_electricity_rate_min_kw,facility_total_electricity_demand_rate_max_kw,facility_total_electricity_demand_rate_mean_kw,facility_total_electricity_demand_rate_min_kw,fans_electricity_annual_gj,fans_electricity_annual_kwh,fans_electricity_min_kw,fans_electricity_min_timestamp,fans_electricity_min_w,fans_electricity_peak_kw,fans_electricity_peak_timestamp,fans_electricity_peak_w,heating_electricity_annual_gj,heating_electricity_annual_kwh,heating_electricity_min_kw,heating_electricity_min_timestamp,heating_electricity_min_w,heating_electricity_peak_kw,heating_electricity_peak_timestamp,heating_electricity_peak_w,interior_equipment_electricity_annual_gj,interior_equipment_electricity_annual_kwh,interior_equipment_electricity_min_kw,interior_equipment_electricity_min_timestamp,interior_equipment_electricity_min_w,interior_equipment_electricity_peak_kw,interior_equipment_electricity_peak_timestamp,interior_equipment_electricity_peak_w,interior_lights_electricity_annual_gj,interior_lights_electricity_annual_kwh,interior_lights_electricity_min_kw,interior_lights_electricity_min_timestamp,interior_lights_electricity_min_w,interior_lights_electricity_peak_kw,interior_lights_electricity_peak_timestamp,interior_lights_electricity_peak_w,outdoor_drybulb_c_max,outdoor_drybulb_c_mean,outdoor_drybulb_c_min,outdoor_rh_pct_max,outdoor_rh_pct_mean,outdoor_rh_pct_min,outdoor_wetbulb_c_max,outdoor_wetbulb_c_mean,outdoor_wetbulb_c_min,rep_zone_humidity_ratio_max,rep_zone_humidity_ratio_mean,rep_zone_humidity_ratio_min,rep_zone_mean_air_temp_c_max,rep_zone_mean_air_temp_c_mean,rep_zone_mean_air_temp_c_min,rep_zone_mean_radiant_temp_c_max,rep_zone_mean_radiant_temp_c_mean,rep_zone_mean_radiant_temp_c_min,rep_zone_operative_temp_c_max,rep_zone_operative_temp_c_mean,rep_zone_operative_temp_c_min,rep_zone_rh_pct_max,rep_zone_rh_pct_mean,rep_zone_rh_pct_min,rep_zone_sensible_cooling_energy_peak_timestep_kwh,rep_zone_sensible_cooling_energy_total_kwh,rep_zone_sensible_cooling_rate_max_kw,rep_zone_sensible_cooling_rate_mean_kw,rep_zone_sensible_cooling_rate_min_kw,rep_zone_sensible_heating_energy_peak_timestep_kwh,rep_zone_sensible_heating_energy_total_kwh,rep_zone_sensible_heating_rate_max_kw,rep_zone_sensible_heating_rate_mean_kw,rep_zone_sensible_heating_rate_min_kw,rep_zone_thermostat_air_temp_c_max,rep_zone_thermostat_air_temp_c_mean,rep_zone_thermostat_air_temp_c_min,total_building_area_m2,unconditioned_building_area_m2,occupied_hours,unmet_hours,ulh_ratio,ulh_percent,stress_index,stress_per_1000kwh,baseline_peak_kw,peak_ratio
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2025,E:\00_research\03_freezethenstress\freeze-and-stress-main\epw_pipeline\energyplus_runner\results\office\Los_Angeles\2025\eplusout.sql,2026-04-02T22:19:47,10,52560,CORE_BOTTOM,194.67,16.5,864.17,4982.19,198.52,55144.44444444886,0.0,01-JAN-00:10,0.0,63.15902,02-SEP-10:40,63159.02,1310.15,363930.5555555847,12.31533,30-JUL-17:20,12315.33,214.10831,02-JAN-07:10,214108.31,314.03,87230.55555556253,0.16857,09-APR-17:30,168.57,184.66795,02-JAN-07:10,184667.95,3,72.7623949020037,31.58217116971154,12.146718909946616,0.1666666666666666,194.66666666666436,0.1666666666666666,210.83333333333007,0.1666666666666666,16.49999999999998,0.1666666666666666,18.333333333333325,184.67479600299785,9.96238290749821,0.1685702147367054,35.68471771368044,363930.2937162769,214.10830628208268,41.54455407720509,12.315332988031358,214.10830628208268,41.54455407720509,12.315332988031358,94.03,26119.444444446533,0.0,01-JAN-08:40,0.0,28.39637,30-MAY-13:10,28396.37,9.78,2716.666666666884,0.0,01-JAN-08:40,0.0,179.39401,02-JAN-07:10,179394.01,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,240.25,66736.11111111645,0.90538,16-JUL-17:20,905.38,25.00379,02-JAN-17:00,25003.79,30.8,17.470552701674283,0.4,100.0,64.2872907153729,6.0,24.735176309057604,12.9124669101234,-1.093155434390931,0.0140975804415963,0.0076772896403251,0.0011434585465632,27.121116701984157,24.797584719293795,18.123555014321617,26.557437376640237,25.277842698803887,18.02591624369795,26.834887046951625,25.037713709049047,18.080832572265617,72.83853089423556,39.54342923411573,5.820083045475136,4.540408202968931,70554.62546021139,27.242449217813583,8.054180988608563,0.0,2.2602492988716576,16.398693469688183,13.561495793229948,0.0018719969714255,0.0,27.121116701984157,24.797584719293795,18.123555014321617,4982.19,0.0,2349,194.66666666666436,0.08287214417482518,8.287214417482518,0.0005349005839025573,0.5349005839025573,214.10830628208268,1.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2026,E:\00_research\03_freezethenstress\freeze-and-stress-main\epw_pipeline\energyplus_runner\results\office\Los_Angeles\2026\eplusout.sql,2026-04-02T22:19:51,10,52560,CORE_BOTTOM,195.17,13.83,989.67,4982.19,207.18,57550.000000004606,0.0,01-JAN-00:10,0.0,62.90724,13-SEP-15:20,62907.24,1312.65,364625.0000000292,12.3195,30-JUL-17:30,12319.5,159.22545000000002,13-SEP-15:20,159225.45,317.22,88116.66666667373,0.16834,01-JAN-00:10,168.34,92.1424,13-SEP-15:20,92142.4,3,72.7623949020037,31.56024108211016,12.148998259266676,0.1666666666666666,195.1666666666643,0.1666666666666666,213.4999999999966,0.1666666666666666,13.833333333333318,0.1666666666666666,13.833333333333318,92.14924623455816,10.063744310761448,0.1683410486422979,26.537575189426978,364626.1120414895,159.22545113656187,41.62398539286763,12.319497431245424,159.22545113656187,41.62398539286763,12.319497431245424,91.79,25497.222222224264,0.0,01-JAN-00:10,0.0,28.39637,07-JUL-13:50,28396.37,6.55,1819.4444444445896,0.0,01-JAN-00:10,0.0,71.26075,02-JAN-07:10,71260.75,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,239.56,66544.44444444976,0.90766,30-JUL-17:20,907.66,25.00379,02-JAN-17:00,25003.79,31.5,17.38796232876719,3.1,100.0,64.50836187214612,7.0,22.93989310920526,13.020468494882314,-0.6974044658288736,0.0125069971846476,0.0077677618384697,0.0009633681060951,27.088292561342374,24.82814674202661,22.835147444106184,26.51193349038854,25.31730857310749,23.295133442281127,26.796192237524146,25.072727657566983,23.065140443193656,64.7247491500493,39.87752397201313,4.89393130381354,4.503698609461354,70748.77097532831,27.02219165676813,8.076343718644843,0.0,0.0,0.0,0.0,0.0,0.0,27.088292561342374,24.82814674202661,22.835147444106184,4982.19,0.0,2349,195.1666666666643,0.08308500070952077,8.308500070952077,0.0005352531139297872,0.5352531139297872,214.10830628208268,0.743667790855279
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2027,E:\00_research\03_freezethenstress\freeze-and-stress-main\epw_pipeline\energyplus_runner\results\office\Los_Angeles\2027\eplusout.sql,2026-04-02T22:19:54,10,52560,CORE_BOTTOM,339.67,0.33,1142.17,4982.19,284.08,78911.11111111743,0.0,01-JAN-00:10,0.0,64.9187,12-OCT-13:00,64918.7,1407.04,390844.4444444757,12.34764,13-AUG-17:20,12347.64,161.61691,20-NOV-16:50,161616.91,410.83,114119.44444445356,0.16834,01-JAN-00:10,168.34,94.1469,12-OCT-13:00,94146.9,3,72.7623949020037,31.584991747305367,12.148974429487923,0.1666666666666666,339.6666666666703,0.1666666666666666,356.5000000000056,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.3333333333333333,94.15374792698792,13.031950104529002,0.1683410486422979,26.936152057992143,390844.4106220451,161.61691234795288,44.61694185182916,12.347636247057446,161.61691234795288,44.61694185182916,12.347636247057446,112.26,31183.333333335828,0.0,01-JAN-00:10,0.0,28.39637,10-JUL-11:40,28396.37,2.78,772.2222222222839,0.0,01-JAN-00:10,0.0,48.47086,11-DEC-07:10,48470.86,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,240.34,66761.11111111645,0.90764,30-JUL-17:20,907.64,25.00379,02-JAN-17:00,25003.79,33.0,18.62363679604252,5.6,100.0,68.38110730593607,11.0,27.59999084472656,14.690223550531504,2.340169499017459,0.0158637346971828,0.0083958319321284,0.0019033964482376,27.20078568900371,24.92139094264976,23.593724595650027,26.657643066375268,25.455020964584875,24.163965059532625,26.90857046925438,25.18820595361718,23.87884482759133,76.03473568964174,42.85224734799869,9.705614527132315,4.646945322620244,73694.33649372915,27.88167193572146,8.412595490151823,0.0,0.0,0.0,0.0,0.0,0.0,27.20078568900371,24.92139094264976,23.593724595650027,4982.19,0.0,2349,339.6666666666703,0.1446005392365561,14.460053923655611,0.0008690584489424006,0.8690584489424007,214.10830628208268,0.7548371903658253
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2028,E:\00_research\03_freezethenstress\freeze-and-stress-main\epw_pipeline\energyplus_runner\results\office\Los_Angeles\2028\eplusout.sql,2026-04-02T22:19:57,10,52560,CORE_BOTTOM,234.17,7.17,938.33,4982.19,243.74,67705.55555556098,0.0,01-JAN-00:10,0.0,64.2089,05-SEP-13:00,64208.9,1356.55,376819.4444444746,12.32756,30-JUL-17:30,12327.56,160.334,05-SEP-15:10,160334.0,361.65,100458.33333334136,0.16834,01-JAN-00:10,168.34,93.4377,05-SEP-14:00,93437.7,3,72.7623949020037,31.543432000300022,12.148854833704862,0.1666666666666666,234.16666666666208,0.1666666666666666,253.3333333333277,0.1666666666666666,7.166666666666671,0.1666666666666666,7.166666666666671,93.44455317949804,11.472575969432883,0.1683410486422979,26.7223337975439,376820.229814817,160.3340027852634,43.01600796972923,12.327561994393715,160.3340027852634,43.01600796972923,12.327561994393715,101.52,28200.000000002256,0.0,01-JAN-00:10,0.0,28.39637,16-JUN-13:40,28396.37,4.69,1302.7777777778822,0.0,01-JAN-00:10,0.0,50.10763,06-FEB-07:10,50107.63,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,239.03,66397.22222222753,0.90752,25-JUN-17:20,907.52,25.00379,02-JAN-11:30,25003.79,32.2,17.999914383561652,4.8,100.0,65.15984589041096,8.0,26.59999084472656,13.681531415553083,1.133577026700911,0.0169766391608747,0.0079661650704495,0.0012367694791345,27.265534093451837,24.86967796906721,23.554855513353363,27.38768370489232,25.38809413291471,24.121252945347035,27.15954161803231,25.128886050990968,23.8380542293502,75.76596112408697,40.82683130469484,6.485964194285635,4.769097689541789,72591.52238505478,28.614586137250736,8.286703468613585,0.0,0.0,0.0,0.0,0.0,0.0,27.265534093451837,24.86967796906721,23.554855513353363,4982.19,0.0,2349,234.16666666666208,0.09968781041577782,9.968781041577781,0.0006214293612472198,0.6214293612472198,214.10830628208268,0.7488453183783871
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2029,E:\00_research\03_freezethenstress\freeze-and-stress-main\epw_pipeline\energyplus_runner\results\office\Los_Angeles\2029\eplusout.sql,2026-04-02T22:20:00,10,52560,CORE_BOTTOM,246.83,8.83,890.33,4982.19,224.15,62263.88888889388,0.0,01-JAN-00:10,0.0,64.67518,05-SEP-13:00,64675.18,1335.53,370980.5555555853,12.33706,30-APR-17:30,12337.06,157.53302,05-SEP-07:10,157533.02,341.19,94775.00000000758,0.16834,01-JAN-00:10,168.34,93.90338,05-SEP-13:00,93903.38,3,72.7623949020037,31.525828010771423,12.148922724633085,0.1666666666666666,246.83333333332803,0.1666666666666666,265.4999999999952,0.1666666666666666,8.833333333333336,0.1666666666666666,8.833333333333336,93.91023402230886,10.82370282511252,0.1683410486422979,26.255503081339704,370981.8901222874,157.53301848803824,42.349530835879904,12.337063630225687,157.53301848803824,42.349530835879904,12.337063630225687,99.63,27675.00000000221,0.0,01-JAN-00:10,0.0,28.39637,09-AUG-08:40,28396.37,5.72,1588.888888889016,0.0,01-JAN-00:10,0.0,73.30396,21-FEB-07:10,73303.96,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,238.47,66241.66666667197,0.90759,25-JUN-17:20,907.59,25.00379,02-JAN-17:00,25003.79,31.800000000000004,17.599789764079098,3.7,100.0,64.96771308980213,6.0,25.516130304877937,13.264141381294523,0.2139055095925658,0.0153588496715685,0.0077862651853313,0.0009839537219567,27.20172162804379,24.857414566920177,22.762925771693222,26.90727246131964,25.359316877756115,23.198889866676872,26.90542927028919,25.108365722338,22.98090781918505,75.9321826670822,39.9368926140565,5.344127756611495,4.64256191753062,71599.6492297371,27.85537150518372,8.173475939467806,0.0,0.0,0.0,0.0,0.0,0.0,27.20172162804379,24.857414566920177,22.762925771693222,4982.19,0.0,2349,246.83333333332803,0.10508017596139976,10.508017596139977,0.0006653538295657227,0.6653538295657226,214.10830628208268,0.7357632276091717
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2030,E:\00_research\03_freezethenstress\freeze-and-stress-main\epw_pipeline\energyplus_runner\results\office\Los_Angeles\2030\eplusout.sql,2026-04-02T22:20:03,10,52560,CORE_BOTTOM,276.33,14.5,1072.67,4982.19,248.56,69044.44444444997,0.0,01-JAN-00:10,0.0,69.47614999999999,28-SEP-14:00,69476.15,1366.66,379627.7777778082,12.34365,16-APR-17:20,12343.65,160.63962,28-SEP-13:00,160639.62,372.34,103427.77777778605,0.16834,01-JAN-00:10,168.34,98.70371,28-SEP-14:00,98703.71,3,72.7623949020037,31.52529663396184,12.150142760646002,0.1666666666666666,276.3333333333298,0.1666666666666666,295.49999999999864,0.1666666666666666,14.499999999999982,0.1666666666666666,14.666666666666648,98.71055618541244,11.811323673649577,0.1683410486422979,26.77327059635976,379628.7938946302,160.63962357815856,43.33662030760709,12.343652899682937,160.63962357815856,43.33662030760709,12.343652899682937,104.86,29127.77777778011,0.0,01-JAN-00:10,0.0,28.39637,17-JUL-12:50,28396.37,7.22,2005.555555555716,0.0,01-JAN-00:10,0.0,84.89326,21-FEB-07:10,84893.26,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,238.46,66238.88888889419,0.90881,25-JUN-17:20,908.81,25.00379,02-JAN-10:30,25003.79,32.1,17.810156963470302,1.3,100.0,66.13620624048706,8.0,26.98110043545997,13.552864158309385,-0.8134866768186608,0.016205143745509,0.0079113239334564,0.0013767989793518,27.1871931207204,24.86297686067317,22.502393691765143,26.95608731946365,25.37635540241313,22.90486402660545,26.89572249590944,25.11966613154313,22.7036288591853,75.5438672790437,40.5614930036208,6.453519174248847,4.619545859850162,72367.08363403086,27.71727515910097,8.261082606624596,0.0,0.0,0.0,0.0,0.0,0.0,27.1871931207204,24.86297686067317,22.502393691765143,4982.19,0.0,2349,276.3333333333298,0.1176387115084418,11.76387115084418,0.0007279059897852484,0.7279059897852483,214.10830628208268,0.750272730505465
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2031,E:\00_research\03_freezethenstress\freeze-and-stress-main\epw_pipeline\energyplus_runner\results\office\Los_Angeles\2031\eplusout.sql,2026-04-02T22:20:07,10,52560,CORE_BOTTOM,307.67,5.33,1018.0,4982.19,304.15,84486.11111111786,0.0,01-JAN-00:10,0.0,64.22824,21-AUG-11:00,64228.24,1429.15,396986.1111111429,12.32731,04-JUL-17:30,12327.31,159.96945000000002,18-AUG-15:10,159969.45,434.5,120694.4444444541,0.16834,01-JAN-00:10,168.34,93.45615,21-AUG-11:00,93456.15,3,72.7623949020037,31.53568541492377,12.146718909946612,0.1666666666666666,307.6666666666667,0.1666666666666666,329.3333333333358,0.1666666666666666,5.333333333333334,0.1666666666666666,5.333333333333334,93.46300021779297,13.782492611824868,0.1683410486422979,26.661575784777327,396987.2395142932,159.969454708664,45.318178026742736,12.327311222820716,159.969454708664,45.318178026742736,12.327311222820716,115.97,32213.888888891463,0.0,01-JAN-00:10,0.0,28.39637,26-MAY-12:50,28396.37,2.68,744.444444444504,0.0,01-JAN-00:10,0.0,49.89832,20-MAR-06:10,49898.32,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,238.79,66330.55555556086,0.90538,16-JUL-17:20,905.38,25.00379,02-JAN-17:00,25003.79,33.2,19.169034436834167,5.8,100.0,63.89239916286149,7.0,26.071902833413013,14.598367242655131,0.0050855590983154,0.0166568012823153,0.0081444818867772,0.0009607703419736,27.107010403838373,24.927080810016776,23.58347564991333,27.06020537612866,25.483233515764784,24.13856659221686,26.877994243531305,25.205157162890544,23.861021121065093,75.80016554216242,41.59519906647821,4.974688446001141,4.447081227397731,75027.57934178005,26.682487364386382,8.564792162303641,0.0,0.0,0.0,0.0,0.0,0.0,27.107010403838373,24.927080810016776,23.58347564991333,4982.19,0.0,2349,307.6666666666667,0.1309777210160352,13.09777210160352,0.0007750061225203172,0.7750061225203172,214.10830628208268,0.7471426844034158
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2032,E:\00_research\03_freezethenstress\freeze-and-stress-main\epw_pipeline\energyplus_runner\results\office\Los_Angeles\2032\eplusout.sql,2026-04-02T22:20:10,10,52560,CORE_BOTTOM,194.5,19.33,1057.67,4982.19,198.48,55133.33333333774,0.0,01-JAN-00:10,0.0,64.44727999999999,12-SEP-12:10,64447.28,1308.83,363563.8888889179,12.32882,29-MAY-17:20,12328.82,160.43075,13-SEP-13:00,160430.75,311.96,86655.55555556247,0.16834,01-JAN-00:10,168.34,93.67548,12-SEP-12:10,93675.48,3,72.7623949020037,31.605695587965403,12.146718909946612,0.1666666666666666,194.49999999999767,0.1666666666666666,209.83333333333013,0.1666666666666666,19.33333333333333,0.1666666666666666,19.33333333333333,93.6823308527842,9.896949336640446,0.1683410486422979,26.738458297827208,363563.1695394704,160.43074978696325,41.50264492460156,12.328817903601225,160.43074978696325,41.50264492460156,12.328817903601225,92.66,25738.888888890942,0.0,01-JAN-00:10,0.0,28.39637,08-JUN-12:50,28396.37,9.13,2536.111111111314,0.0,01-JAN-00:10,0.0,76.42975,23-JAN-07:10,76429.75,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,240.99,66941.66666667203,0.90538,18-JUN-17:20,905.38,25.00379,02-JAN-17:00,25003.79,30.0,16.74764174277001,1.7,100.0,71.24356925418569,14.0,26.99999917820325,13.29059784886343,-1.7871558412069262,0.0164464940468233,0.0082814967396756,0.0018599334287322,27.128350561184224,24.827032275681955,23.244305529480307,27.000835479824165,25.296531843892566,23.740774165453114,26.845861240547976,25.061782059787188,23.49253984746671,75.40828016513235,42.53534019055363,9.650595226594874,4.552060220491643,69690.48390643523,27.312361322949855,7.955534692515442,0.0,0.0,0.0,0.0,0.0,0.0,27.128350561184224,24.827032275681955,23.244305529480307,4982.19,0.0,2349,194.49999999999767,0.0828011919965933,8.28011919965933,0.0005349816248098957,0.5349816248098956,214.10830628208268,0.7492971784831154
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2033,E:\00_research\03_freezethenstress\freeze-and-stress-main\epw_pipeline\energyplus_runner\results\office\Los_Angeles\2033\eplusout.sql,2026-04-02T22:20:13,10,52560,CORE_BOTTOM,133.83,12.5,913.0,4982.19,158.81,44113.88888889242,0.0,01-JAN-00:10,0.0,65.82123,26-SEP-12:40,65821.23,1256.49,349025.00000002794,12.32033,16-APR-17:20,12320.33,159.28006,14-SEP-13:00,159280.06,258.28,71744.44444445017,0.16834,01-JAN-00:10,168.34,93.41218,27-SEP-10:10,93412.18,3,72.7623949020037,31.648326491469145,12.150230345825626,0.1666666666666666,133.83333333333445,0.1666666666666666,142.1666666666673,0.1666666666666666,12.49999999999999,0.1666666666666666,12.49999999999999,93.41902734242947,8.194646969466449,0.1683410486422979,26.546676333039827,349024.44751769665,159.28005799823896,39.84297346093352,12.320327991422989,159.28005799823896,39.84297346093352,12.320327991422989,80.54,22372.222222224013,0.0,01-JAN-00:10,0.0,28.39637,14-SEP-12:20,28396.37,7.22,2005.555555555716,0.0,01-JAN-00:10,0.0,55.79352,27-MAR-06:10,55793.52,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,242.34,67316.66666667206,0.90889,25-JUN-17:20,908.89,25.00379,02-JAN-17:00,25003.79,29.8,16.147411529680294,3.0,100.0,75.80361491628615,12.0,26.50245258801031,13.280894719881744,1.1365368582254178,0.015223675589137,0.0085337687590052,0.0017002898045574,27.063238646843097,24.8194521154126,23.46939616022572,26.86754478378247,25.26143606111898,24.02038583099241,26.748914081404365,25.040444088265996,23.74489099560906,73.89374625971284,43.78827831867154,8.816079954946836,4.34849355882031,68068.21704317616,26.090961352921862,7.770344411321446,0.0,0.0,0.0,0.0,0.0,0.0,27.063238646843097,24.8194521154126,23.46939616022572,4982.19,0.0,2349,133.83333333333445,0.05697459912019347,5.6974599120193465,0.0003834491321060776,0.3834491321060776,214.10830628208268,0.7439228340277056
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2034,E:\00_research\03_freezethenstress\freeze-and-stress-main\epw_pipeline\energyplus_runner\results\office\Los_Angeles\2034\eplusout.sql,2026-04-02T22:20:16,10,52560,CORE_BOTTOM,220.83,6.5,1203.67,4982.19,250.16,69488.88888889445,0.0,01-JAN-00:10,0.0,67.05036,05-JUL-15:20,67050.36,1365.76,379377.77777780814,12.33158,11-JUN-17:30,12331.58,159.26843,18-SEP-12:40,159268.43,367.81,102169.44444445262,0.16834,01-JAN-00:10,168.34,94.37472,05-JUL-13:00,94374.72,3,72.7623949020037,31.640204409594347,12.146718909946616,0.1666666666666666,220.8333333333295,0.1666666666666666,238.66666666666185,0.1666666666666666,6.500000000000003,0.1666666666666666,6.500000000000003,94.38157016358662,11.667712973066532,0.1683410486422979,26.54473823941848,379377.35627206304,159.26842943651087,43.30791738265614,12.33157995362837,159.26842943651087,43.30791738265614,12.33157995362837,100.2,27833.33333333556,0.0,01-JAN-00:10,0.0,28.39637,08-JUL-09:10,28396.37,5.74,1594.444444444572,0.0,01-JAN-00:10,0.0,53.22213,18-DEC-07:10,53222.13,705.43,195952.77777779344,11.24134,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,242.08,67244.44444444982,0.90538,16-JUL-17:20,905.38,25.00379,02-JAN-08:10,25003.79,31.6,17.507790144596544,4.3,100.0,76.12717846270928,18.0,26.314813298726826,14.614915129370685,2.682577355862516,0.0161239507316597,0.0089557935338911,0.0027051193020557,27.17388802463756,24.84828091790949,23.530982379674803,26.966459035831853,25.33230506360993,24.09351561833529,26.88699719426834,25.09029299076004,23.81452636786248,77.23193520566531,45.85106417984006,14.309328609393694,4.688776576469071,70600.85845893846,28.13265945881443,8.059458728189254,0.0,0.0,0.0,0.0,0.0,0.0,27.17388802463756,24.84828091790949,23.53098237967481,4982.19,0.0,2349,220.8333333333295,0.09401163615722839,9.401163615722838,0.00058209348641044,0.58209348641044,214.10830628208268,0.7438685224415276
