climate_type,city,score_family,decade,family_score_mean
Cfb,Vancouver,habitability,2045-2054,0.3276980666111683
Cfb,Vancouver,habitability,2055-2064,0.8704008822632934
Cfb,Vancouver,habitability,2065-2074,0.9761045362676872
Cfb,Vancouver,habitability,2075-2084,0.5397227242661176
Cfb,Vancouver,habitability,2085-2094,1.7747367963351928
Cfb,Vancouver,habitability,2095-2100,1.700067402797519
Cfb,Vancouver,operational_adequacy,2025-2034,-6.272760089132135e-16
Cfb,Vancouver,operational_adequacy,2035-2044,-0.037655378007527
Cfb,Vancouver,operational_adequacy,2045-2054,0.4877853269950953
Cfb,Vancouver,operational_adequacy,2055-2064,0.4394520118712677
Cfb,Vancouver,operational_adequacy,2065-2074,0.3048861839487909
Cfb,Vancouver,operational_adequacy,2075-2084,-0.1105059981355753
Cfb,Vancouver,operational_adequacy,2085-2094,1.390469238527134
Cfb,Vancouver,operational_adequacy,2095-2100,1.0713079467869415
Cfb,Vancouver,durability_cautious,2025-2034,8.437694987151189e-16
Cfb,Vancouver,durability_cautious,2035-2044,-0.5531968987143069
Cfb,Vancouver,durability_cautious,2045-2054,0.0654851974913323
Cfb,Vancouver,durability_cautious,2055-2064,0.0512489026138421
Cfb,Vancouver,durability_cautious,2065-2074,0.5105488492640589
Cfb,Vancouver,durability_cautious,2075-2084,1.7623907199846525
Cfb,Vancouver,durability_cautious,2085-2094,1.731622870921648
Cfb,Vancouver,durability_cautious,2095-2100,1.6299072480041563
Cfb,Vancouver,energy_burden_secondary,2025-2034,0.0
Cfb,Vancouver,energy_burden_secondary,2035-2044,1.0245403452680957
Cfb,Vancouver,energy_burden_secondary,2045-2054,1.4605959090842842
Cfb,Vancouver,energy_burden_secondary,2055-2064,2.2318239313249064
Cfb,Vancouver,energy_burden_secondary,2065-2074,3.166894953198123
Cfb,Vancouver,energy_burden_secondary,2075-2084,3.2490005462724354
Cfb,Vancouver,energy_burden_secondary,2085-2094,5.17768424606737
Cfb,Vancouver,energy_burden_secondary,2095-2100,5.497106503528372
Dfa,Toronto,habitability,2025-2034,1.7763568394002506e-16
Dfa,Toronto,habitability,2035-2044,-0.2145864468355595
Dfa,Toronto,habitability,2045-2054,0.5284639738993578
Dfa,Toronto,habitability,2055-2064,0.9198537271463614
Dfa,Toronto,habitability,2065-2074,1.0644846835830788
Dfa,Toronto,habitability,2075-2084,0.3967668965336198
Dfa,Toronto,habitability,2085-2094,1.4115687821831662
Dfa,Toronto,habitability,2095-2100,1.523498284198619
Dfa,Toronto,operational_adequacy,2025-2034,8.437694987151189e-16
Dfa,Toronto,operational_adequacy,2035-2044,-0.0272059443947094
Dfa,Toronto,operational_adequacy,2045-2054,0.0931211514283502
Dfa,Toronto,operational_adequacy,2055-2064,0.5034861560847534
Dfa,Toronto,operational_adequacy,2065-2074,-0.1008688169330103
Dfa,Toronto,operational_adequacy,2075-2084,-0.5145596760225022
Dfa,Toronto,operational_adequacy,2085-2094,0.351716050657165
Dfa,Toronto,operational_adequacy,2095-2100,1.601420890219922
Dfa,Toronto,durability_cautious,2025-2034,2.1094237467877974e-15
Dfa,Toronto,durability_cautious,2035-2044,0.0852356880438766
Dfa,Toronto,durability_cautious,2045-2054,0.2380961123712259
Dfa,Toronto,durability_cautious,2055-2064,1.7224513545535884
Dfa,Toronto,durability_cautious,2065-2074,1.7538182228872308
Dfa,Toronto,durability_cautious,2075-2084,2.111042443584977
Dfa,Toronto,durability_cautious,2085-2094,4.842214735111434
Dfa,Toronto,durability_cautious,2095-2100,3.6549020848561935
Dfa,Toronto,energy_burden_secondary,2025-2034,7.743805596760466e-16
Dfa,Toronto,energy_burden_secondary,2035-2044,0.7875161473633698
Dfa,Toronto,energy_burden_secondary,2045-2054,1.586156265074556
Dfa,Toronto,energy_burden_secondary,2055-2064,2.480264429674898
Dfa,Toronto,energy_burden_secondary,2065-2074,3.061987125603625
Dfa,Toronto,energy_burden_secondary,2075-2084,3.2033225022831004
Dfa,Toronto,energy_burden_secondary,2085-2094,5.486784086694881
Dfa,Toronto,energy_burden_secondary,2095-2100,6.718624118156615
Dfb,Montreal,habitability,2025-2034,2.7977620220553944e-15
Dfb,Montreal,habitability,2035-2044,0.4566260480538704
Dfb,Montreal,habitability,2045-2054,0.6478714768098838
Dfb,Montreal,habitability,2055-2064,1.1377666020505453
Dfb,Montreal,habitability,2065-2074,1.3185844444357846
Dfb,Montreal,habitability,2075-2084,1.3551158855413667
Dfb,Montreal,habitability,2085-2094,1.3774963829300666
Dfb,Montreal,habitability,2095-2100,1.9826168327929128
Dfb,Montreal,operational_adequacy,2025-2034,5.10702591327572e-16
Dfb,Montreal,operational_adequacy,2035-2044,0.2737645205196787
Dfb,Montreal,operational_adequacy,2045-2054,-0.0689586988502192
Dfb,Montreal,operational_adequacy,2055-2064,0.0658925301657178
Dfb,Montreal,operational_adequacy,2065-2074,-0.3289516952356838
Dfb,Montreal,operational_adequacy,2075-2084,-0.6039429915388949
Dfb,Montreal,operational_adequacy,2085-2094,-0.9002450834561628
Dfb,Montreal,operational_adequacy,2095-2100,0.0687124791241412
Dfb,Montreal,durability_cautious,2025-2034,-2.253752739989068e-15
Dfb,Montreal,durability_cautious,2035-2044,0.6407686519509546
Dfb,Montreal,durability_cautious,2045-2054,0.6534948043303097
Dfb,Montreal,durability_cautious,2055-2064,1.373663379337477
Dfb,Montreal,durability_cautious,2065-2074,1.7607863335779943
Dfb,Montreal,durability_cautious,2075-2084,1.7814624165920616
Dfb,Montreal,durability_cautious,2085-2094,2.2931032715283
Dfb,Montreal,durability_cautious,2095-2100,3.0912399828148285
Dfb,Montreal,energy_burden_secondary,2025-2034,-7.2164496600635185e-16
Dfb,Montreal,energy_burden_secondary,2035-2044,1.289814327356062
Dfb,Montreal,energy_burden_secondary,2045-2054,1.8069209177454733
Dfb,Montreal,energy_burden_secondary,2055-2064,2.885484982405277
Dfb,Montreal,energy_burden_secondary,2065-2074,3.17774769553429
Dfb,Montreal,energy_burden_secondary,2075-2084,3.5572017748070293
Dfb,Montreal,energy_burden_secondary,2085-2094,5.398381347438897
Dfb,Montreal,energy_burden_secondary,2095-2100,6.7504654142377625
