scenario,building,city,climate_type,year,metric,label,metric_value,baseline_value,delta_abs,delta_std
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2030,cdd_18,Cooling degree days,731.8,685.044,46.75599999999997,0.3047640369187482
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2030,hdd_18,Heating degree days,801.18,814.103,-12.923000000000002,-0.0836951596071941
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2030,maximum_wetbulb_c,Maximum wet-bulb temperature,26.98110043545997,26.02614497464073,0.9549554608192424,0.7450006892606416
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2030,annual_ghi_kwh_m2,Annual GHI,1991.36,1917.919,73.44100000000003,1.1559856828472026
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2030,heatwave_days,Heatwave days,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2031,annual_mean_drybulb_c,Annual mean dry-bulb temperature,19.169034436834167,17.646389079147607,1.5226453576865602,1.874385115170704
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2031,cdd_18,Cooling degree days,942.7,685.044,257.65600000000006,1.6794482568298623
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2031,hdd_18,Heating degree days,516.02,814.103,-298.083,-1.9305195590181252
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2031,maximum_wetbulb_c,Maximum wet-bulb temperature,26.071902833413013,26.02614497464073,0.0457578587722835,0.0356976191279092
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2031,annual_ghi_kwh_m2,Annual GHI,1976.86,1917.919,58.94100000000003,0.9277508766587734
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2031,heatwave_days,Heatwave days,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2032,annual_mean_drybulb_c,Annual mean dry-bulb temperature,16.74764174277001,17.646389079147607,-0.8987473363775962,-1.106363094401042
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2032,cdd_18,Cooling degree days,528.37,685.044,-156.67399999999998,-1.021229376341175
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2032,hdd_18,Heating degree days,985.43,814.103,171.327,1.1095906995296558
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2032,maximum_wetbulb_c,Maximum wet-bulb temperature,26.99999917820325,26.02614497464073,0.9738542035625208,0.7597443887812698
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2032,annual_ghi_kwh_m2,Annual GHI,1915.77,1917.919,-2.1489999999998872,-0.0338259723102695
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2032,heatwave_days,Heatwave days,0.0,0.0,0.0,0.0
