scenario,building,city,climate_type,decade,score_family,year_start,year_end,n_years,family_score_mean,family_score_sd,max_breached_component_count,component_metrics,interpretation_note
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2025-2034,operational_adequacy,2025,2034,10,-0.19459015064211596,1.0606962673668718,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2035-2044,energy_burden_secondary,2035,2044,10,1.7772446446577213,1.015495771293053,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2035-2044,habitability,2035,2044,10,0.027708860434811432,0.5782080388167707,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2035-2044,operational_adequacy,2035,2044,10,0.3907129092626859,0.6871520536375127,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2045-2054,energy_burden_secondary,2045,2054,10,3.4869010109562253,1.213671814245819,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2045-2054,habitability,2045,2054,10,0.15801950308263532,0.7041871897430739,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2045-2054,operational_adequacy,2045,2054,10,0.8761108953673759,0.6314701032808725,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2055-2064,energy_burden_secondary,2055,2064,10,4.672036941270823,1.4027174294327933,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2055-2064,habitability,2055,2064,10,-0.06305320597718148,0.5376888843440747,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2055-2064,operational_adequacy,2055,2064,10,1.4455522872254032,0.6180965241572305,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
