scenario,building,city,climate_type,main_break_year,main_sustained_failure_year,first_trigger_metric,first_trigger_metric_keys,first_breached_family,dominant_driver_block,dominant_driver_share_max,dominant_main_score_family_2045_2054,dominant_main_score_family_2095_2100,dominant_score_family_with_durability_cautious_2045_2054,dominant_score_family_with_durability_cautious_2095_2100,adaptation_priority
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2028,2082,Maximum daily EDH,maximum_daily_edh_k_h,habitability,humid_heat_stress,0.559241378183326,habitability,habitability,habitability,habitability,Short-duration overheating controls
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2026,2026,Annual EDH; Cooling setpoint not met occupied hours,annual_edh_c_h; cooling_setpoint_not_met_occupied_hours,habitability; operational_adequacy,thermal_shift,0.8489229885691562,operational_adequacy,operational_adequacy,operational_adequacy,operational_adequacy,Envelope heat control + cooling adequacy check
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2049,Never,Maximum daily EDH,maximum_daily_edh_k_h,habitability,demand_background,0.4966523974024575,habitability,habitability,habitability,habitability,Intermittent overheating monitoring in cold climate
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2026,Never,Annual EDH; Maximum daily EDH; Daily EDH exceedance days,annual_edh_c_h; maximum_daily_edh_k_h; daily_edh_exceedance_days,habitability,thermal_shift + demand_background,0.7556884680145247,operational_adequacy,operational_adequacy,operational_adequacy,operational_adequacy,"Peak comfort, shading, and operating controls"
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,Never,Never,Never,Never,No severe transition,No severe-transition driver,,habitability,operational_adequacy,habitability,operational_adequacy,Monitor; no severe-transition retrofit trigger
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2030,Never,Heating unmet hours,heating_unmet_hours,operational_adequacy,demand_background,0.6626945460811511,operational_adequacy,operational_adequacy,operational_adequacy,operational_adequacy,Heating adequacy and heat-pump timing
