score_family,model,status,n,ridge_alpha,full_r2,block,block_label,standardized_beta,beta2_share,drop_one_block_reduced_r2,drop_one_block_r2_loss,permutation_r2_loss_mean,permutation_r2_loss_sd,permutation_n,interpretation_tier
habitability,standardized_ridge_block_regression,completed,48,1.0,0.6234259410006595,thermal_shift,Thermal shift,-0.29905403828032606,0.08882010378688864,0.5896227672437048,0.03380317375695474,0.18702884959985602,0.0610301233414661,500.0,main
habitability,standardized_ridge_block_regression,completed,48,1.0,0.6234259410006595,demand_background,Demand background,0.07759234902324243,0.005979291595859208,0.6177657992849092,0.005660141715750355,0.014000477203572424,0.010364462459840693,500.0,main
habitability,standardized_ridge_block_regression,completed,48,1.0,0.6234259410006595,humid_heat_stress,Humid heat stress,0.5418360601300329,0.291573293942831,0.4653627346446114,0.1580632063560481,0.5614490737147301,0.0834847779816733,500.0,main
habitability,standardized_ridge_block_regression,completed,48,1.0,0.6234259410006595,solar_burden,Solar burden,-0.6470161567670967,0.41575950337372697,0.41458161742595256,0.20884432357470695,0.6177842671837303,0.028845169406762988,500.0,main
habitability,standardized_ridge_block_regression,completed,48,1.0,0.6234259410006595,persistence_heatwave,Heatwave persistence,-0.44635623296356747,0.19786780730069423,0.49519082709346973,0.12823511390718978,0.41192978661873714,0.09993282028698189,500.0,main
operational_adequacy,standardized_ridge_block_regression,completed,48,1.0,0.875396941565542,thermal_shift,Thermal shift,-0.29638956840616915,0.10267890683272944,0.8426868514851475,0.032710090080394494,0.18049097962939437,0.03998230284853942,500.0,main
operational_adequacy,standardized_ridge_block_regression,completed,48,1.0,0.875396941565542,demand_background,Demand background,0.45264230861099347,0.23947804160899758,0.7562175151247391,0.11917942644080293,0.41938054285470405,0.07572072700980245,500.0,main
operational_adequacy,standardized_ridge_block_regression,completed,48,1.0,0.875396941565542,humid_heat_stress,Humid heat stress,0.6708957461877595,0.5260965867062056,0.6388033493157792,0.23659359224976284,0.8332174158754697,0.07180156194693404,500.0,main
operational_adequacy,standardized_ridge_block_regression,completed,48,1.0,0.875396941565542,solar_burden,Solar burden,0.1312310192137803,0.020129287892928626,0.8697150148950281,0.005681926670513926,0.035253367210115204,0.014142398539812334,500.0,main
operational_adequacy,standardized_ridge_block_regression,completed,48,1.0,0.875396941565542,persistence_heatwave,Heatwave persistence,0.309020871661742,0.11161717695913866,0.8152852499363561,0.06011169162918595,0.1945161960029542,0.04219680384309123,500.0,main
durability_cautious,standardized_ridge_block_regression,insufficient_rows,0,,,,,,,,,,,,
energy_burden_secondary,standardized_ridge_block_regression,completed,48,1.0,0.9810476447135407,thermal_shift,Thermal shift,0.5133039987502251,0.39108339403887954,0.9029746972546806,0.07807294745886006,0.5395533801175725,0.07883769551402085,500.0,secondary_overlay
energy_burden_secondary,standardized_ridge_block_regression,completed,48,1.0,0.9810476447135407,demand_background,Demand background,0.626815338418991,0.5831755546689286,0.7638143667627236,0.21723327795081704,0.8011339365511392,0.11604954000974053,500.0,secondary_overlay
energy_burden_secondary,standardized_ridge_block_regression,completed,48,1.0,0.9810476447135407,humid_heat_stress,Humid heat stress,0.11897972599795399,0.021011933101525073,0.9750376432524874,0.006010001461053238,0.029162905657121322,0.00630955080429947,500.0,secondary_overlay
energy_burden_secondary,standardized_ridge_block_regression,completed,48,1.0,0.9810476447135407,solar_burden,Solar burden,-0.023882958634898487,0.0008466352244259745,0.9808078036243484,0.00023984108919228309,0.001298461035080156,0.0009397844586950343,500.0,secondary_overlay
energy_burden_secondary,standardized_ridge_block_regression,completed,48,1.0,0.9810476447135407,persistence_heatwave,Heatwave persistence,-0.051144005630555565,0.003882482966240788,0.9786917139918925,0.0023559307216481917,0.005426914033442194,0.0021262332666384482,500.0,secondary_overlay
