role,family,subfamily,metric,label,unit,analysis_tier,source_column,optional,threshold,threshold_direction,threshold_standard,failure_relevant,interpretation,coverage_pct,baseline_value_median,mean_abs_absolute_change,mean_abs_log_ratio_change,mean_abs_standardized_change,mean_abs_temporal_slope,mean_abs_temporal_acceleration,mean_volatility_change,maximum_jump,breach_frequency_pct,failure_probability_pct,relative_stress_percentile,relative_stress_threshold,relative_stress_frequency_pct,relative_stress_use,break_year_count,sustained_failure_year_count,climate_discrimination_score,driver_response_n,driver_response_r2,driver_response_condition_number,driver_response_dominant_driver,driver_response_dominant_abs_beta,driver_response_beta_annual_mean_drybulb_c,driver_response_beta_cdd_18,driver_response_beta_hdd_18,driver_response_beta_maximum_wetbulb_c,driver_response_beta_annual_ghi_kwh_m2,driver_response_beta_heatwave_days,redundancy_max_abs_r,redundancy_scope,redundancy_flag,screening_decision_raw,screening_score,keep_drop_decision,retention_rule
driver,climate_drivers,thermal_shift,annual_mean_drybulb_c,Annual mean dry-bulb temperature,C,main,outdoor_drybulb_c_mean,False,,,,False,,100.0,13.986920662100374,4.269851605582365,0.2708318970592754,3.6597186595062907,0.046998548824030116,0.00106067548590824,0.7644408457879149,3.744072533037457,,,90.0,27.505916571537394,10.087719298245615,auxiliary_screening_only,0,0,0.9720178273967733,,,,,,,,,,,,0.8278373757026972,same_subfamily,No,Review,0.5010935118885187,Keep,Driver block representative retained for thermal_shift
driver,climate_drivers,thermal_shift,summer_mean_drybulb_c,Summer mean dry-bulb temperature,C,main,summer_mean_drybulb_c,False,,,,False,,100.0,20.5634,3.3066999999999993,0.1376299383609447,2.779749782753893,0.0427533757120073,0.0005127871028923654,1.0089622661669506,3.839199999999998,,,90.0,36.588499999999996,10.087719298245615,auxiliary_screening_only,0,0,0.9615352758928403,,,,,,,,,,,,0.8278373757026972,same_subfamily,No,Review,0.48874724221575,Review,
driver,climate_drivers,demand_background,cdd_18,Cooling degree days,degree-days,main,cdd_18,False,,,,False,,100.0,510.755,706.7266666666668,0.8121502550076393,3.3022025459656175,8.820386420596947,0.13734366998577538,149.95818587110628,739.7099999999999,,,90.0,3660.625,10.087719298245615,auxiliary_screening_only,0,0,0.9657701550222038,,,,,,,,,,,,0.7760231679295776,same_subfamily,No,Review,0.5019496111998868,Keep,Driver block representative retained for demand_background
driver,climate_drivers,demand_background,hdd_18,Heating degree days,degree-days,main,hdd_18,False,,,,False,,100.0,1852.0549999999998,625.8366666666667,0.8254561787249269,2.814008717797831,8.102552654363182,0.10129189189189193,156.59899649598347,659.69,,,90.0,3473.18,10.087719298245615,auxiliary_screening_only,0,0,0.968837173553523,,,,,,,,,,,,0.7760231679295776,same_subfamily,No,Review,0.5003186469590929,Keep,Driver block representative retained for demand_background
driver,climate_drivers,humid_heat_stress,maximum_wetbulb_c,Maximum wet-bulb temperature,C,main,outdoor_wetbulb_c_max,False,,,,False,,100.0,24.524634598492305,4.503213475177573,0.17059931392447936,3.263210608878516,0.04504066124260513,0.0024636324367014162,1.2984836864350846,6.133459439116319,,,90.0,29.76679164316598,10.087719298245615,auxiliary_screening_only,0,0,0.7799597067344678,,,,,,,,,,,,0.0,same_subfamily,No,Review,0.46138473766510435,Keep,Driver block representative retained for humid_heat_stress
driver,climate_drivers,solar_burden,annual_ghi_kwh_m2,Annual GHI,kWh/m2,main,annual_ghi_kwh_m2,False,,,,False,,100.0,1384.17,38.87333333333337,0.03529647640869306,1.150893105614363,0.5319548872180451,0.021477192982456168,44.46146129402107,188.98000000000002,,,90.0,1922.5749999999998,10.087719298245615,auxiliary_screening_only,0,0,0.9972807265539381,,,,,,,,,,,,0.9150552235520392,same_subfamily,Yes,Review,0.4914986794669349,Keep,Driver block representative retained for solar_burden
driver,climate_drivers,solar_burden,peak_ghi_w_m2,Peak GHI,W/m2,main,peak_ghi_w_m2,False,,,,False,,100.0,1186.75,27.149999999999977,0.03070289431504602,0.5656542175596512,0.38466005923900676,0.10517638691322906,74.22192600908157,328.60000000000014,,,90.0,1441.4499999999998,10.087719298245615,auxiliary_screening_only,0,0,0.9874950319095869,,,,,,,,,,,,0.9150552235520392,same_subfamily,Yes,Review,0.4810890835374602,Review,
driver,climate_drivers,persistence_heatwave,heatwave_days,Heatwave days,days,main,heatwave_days,False,,,,False,,100.0,0.0,11.833333333333334,0.33116718439151976,3.4394742156847444,0.12855092276144905,0.0039118065433854906,3.856580958188765,38.0,,,90.0,153.0,8.771929824561404,auxiliary_screening_only,0,0,0.9841337001151343,,,,,,,,,,,,0.9553754533011339,same_subfamily,Yes,Review,0.4943575547817664,Keep,Driver block representative retained for persistence_heatwave
driver,climate_drivers,persistence_heatwave,maximum_consecutive_hot_days,Maximum consecutive hot days,days,main,max_consec_hot_days_35c,False,,,,False,,100.0,0.0,3.8333333333333335,0.125163142954006,3.118986296857414,0.14040555935292778,0.008895211000474164,7.23124442841073,120.0,,,90.0,86.5,10.087719298245615,auxiliary_screening_only,0,0,0.8958768352137376,,,,,,,,,,,,0.9553754533011339,same_subfamily,Yes,Review,0.43659021142855237,Review,
response,building_responses,habitability,peak_operative_temperature_c,Peak operative temperature,C,main,rep_zone_operative_temp_c_max,False,,,,False,,100.0,26.85356907969456,0.25357855548703573,0.00951449455650302,1.8938377913669255,0.0021467657474365256,0.00013717161403827143,0.12869770313918355,0.7417768555278208,,,90.0,26.989726065831643,10.087719298245615,auxiliary_screening_only,0,0,0.9080334249479051,456,0.89063507750306,99.21614786420552,heatwave_days,0.9974518285074435,-0.36926900014001507,-0.10872889570330993,0.01225458359379665,0.40136480792784884,0.9009939814591621,0.9974518285074435,0.9858953368698008,same_subfamily,Yes,Review,0.43320653581081564,Review,
