climate_type,role,family,subfamily,metric,label,unit,analysis_tier,source_column,optional,threshold,threshold_direction,threshold_standard,failure_relevant,interpretation,coverage_pct,baseline_value_median,mean_abs_absolute_change,mean_abs_log_ratio_change,mean_abs_standardized_change,mean_abs_temporal_slope,mean_abs_temporal_acceleration,mean_volatility_change,maximum_jump,breach_frequency_pct,failure_probability_pct,relative_stress_percentile,relative_stress_threshold,relative_stress_frequency_pct,relative_stress_use,break_year_count,sustained_failure_year_count,climate_discrimination_score,driver_response_n,driver_response_r2,driver_response_condition_number,driver_response_dominant_driver,driver_response_dominant_abs_beta,driver_response_beta_annual_mean_drybulb_c,driver_response_beta_cdd_18,driver_response_beta_hdd_18,driver_response_beta_maximum_wetbulb_c,driver_response_beta_annual_ghi_kwh_m2,driver_response_beta_heatwave_days,redundancy_max_abs_r,redundancy_scope,redundancy_flag,screening_weight_set,screening_normalization_group,screening_rank_within_role,screening_top_k,screening_review_k,screening_component_coverage,screening_component_slope,screening_component_breach,screening_component_discrimination,screening_component_volatility,screening_component_uniqueness,screening_decision_raw,screening_score,keep_drop_decision,screening_selected_for_analysis,retention_rule
Am,driver,climate_drivers,thermal_shift,annual_mean_drybulb_c,Annual mean dry-bulb temperature,C,main,outdoor_drybulb_c_mean,False,,,,False,,100.0,22.04367860851512,6.421018880070047,0.25563875848972745,5.872032050818215,0.04524312948083005,0.003279640411742153,0.575994475934482,3.744072533037457,,,90.0,28.272315924657665,10.526315789473685,auxiliary_screening_only,0,0,,,,,,,,,,,,,0.871909211058425,same_subfamily,No,base,driver,3,5,3,1.0,0.00016606844976178674,0.9839638071500142,0.0,0.9981484457070557,0.07759875524221393,Keep,0.44472806180987234,Keep,Yes,Driver block representative retained for thermal_shift
Am,driver,climate_drivers,thermal_shift,summer_mean_drybulb_c,Summer mean dry-bulb temperature,C,main,summer_mean_drybulb_c,False,,,,False,,100.0,29.2676,2.6747999999999976,0.08745317872804097,2.7436442250864905,0.04281764319890636,0.00020096728307254726,0.33836309950111326,1.0373000000000019,,,90.0,31.94185,10.526315789473685,auxiliary_screening_only,0,0,,,,,,,,,,,,,0.871909211058425,same_subfamily,No,base,driver,4,5,3,1.0,0.0,0.3659274839249336,0.0,1.0,0.07759875524221393,Keep,0.3336268226307095,Keep,Yes,
Am,driver,climate_drivers,demand_background,cdd_18,Cooling degree days,degree-days,main,cdd_18,False,,,,False,,100.0,2882.73,948.5900000000001,0.2844716295095914,2.8183129015275035,14.64815830485304,0.23271180654338577,128.67992852856102,325.2600000000002,,,90.0,3763.94,10.526315789473685,auxiliary_screening_only,0,0,,,,,,,,,,,,,0.6272244188821819,same_subfamily,No,base,driver,2,5,3,1.0,1.0,0.3806788372795622,0.0,0.0,0.33645317954940623,Keep,0.5021675086652618,Keep,Yes,Driver block representative retained for demand_background
Am,driver,climate_drivers,demand_background,hdd_18,Heating degree days,degree-days,main,hdd_18,False,,,,False,,100.0,51.5,39.78,1.4802850235208238,2.107886900401259,0.47601708817498284,0.003213371266002843,23.321753532699898,67.64,,,90.0,55.995000000000005,10.526315789473685,auxiliary_screening_only,0,0,,,,,,,,,,,,,0.6272244188821819,same_subfamily,No,base,driver,5,5,3,1.0,0.029660345144391472,0.2403288876831232,0.0,0.8209201332681053,0.33645317954940623,Keep,0.3261150138993673,Keep,Yes,Driver block representative retained for demand_background
Am,driver,climate_drivers,humid_heat_stress,maximum_wetbulb_c,Maximum wet-bulb temperature,C,main,outdoor_wetbulb_c_max,False,,,,False,,100.0,23.824512887977384,6.809031317101109,0.2513806204888933,5.953204351859026,0.043176809802804056,0.004644931497479578,0.8584372258737155,5.1596625606095365,,,90.0,30.63025341518224,10.526315789473685,auxiliary_screening_only,0,0,,,,,,,,,,,,,0.0,same_subfamily,No,base,driver,1,5,3,1.0,2.4591456797764225e-05,1.0,0.0,0.9959477342774031,1.0,Keep,0.5396006753773718,Keep,Yes,Driver block representative retained for humid_heat_stress
Am,driver,climate_drivers,solar_burden,annual_ghi_kwh_m2,Annual GHI,kWh/m2,main,annual_ghi_kwh_m2,False,,,,False,,100.0,1943.63,82.18000000000006,0.04320160479443158,1.7063051917902,0.21882529049897512,0.021401137980085503,67.04897235450784,185.15999999999985,,,90.0,1954.505,10.526315789473685,auxiliary_screening_only,0,0,,,,,,,,,,,,,0.2236176426490429,same_subfamily,No,base,driver,6,5,3,1.0,0.01205091010045191,0.16099342913703552,0.0,0.48021041326723835,0.763432718322943,Review,0.316235348827793,Keep,Yes,Driver block representative retained for solar_burden
Am,driver,climate_drivers,solar_burden,peak_ghi_w_m2,Peak GHI,W/m2,main,peak_ghi_w_m2,False,,,,False,,100.0,1234.8,45.09999999999991,0.03720783914552387,0.8913856396400546,0.29831305536568653,0.051027027027027036,74.36925259511189,215.29999999999995,,,90.0,1310.15,10.526315789473685,auxiliary_screening_only,0,0,,,,,,,,,,,,,0.2236176426490429,same_subfamily,No,base,driver,9,5,3,1.0,0.01749328674253901,0.0,0.0,0.4231729272732695,0.763432718322943,Drop,0.2828589533778306,Drop,No,
Am,driver,climate_drivers,persistence_heatwave,heatwave_days,Heatwave days,days,main,heatwave_days,False,,,,False,,100.0,0.0,14.0,,1.6360887875456809,0.21950786056049212,0.0074822190611664235,6.7974374256447225,29.0,,,90.0,13.5,10.526315789473685,auxiliary_screening_only,0,0,,,,,,,,,,,,,0.9452602281422335,same_subfamily,Yes,base,driver,8,5,3,1.0,0.01209764437918798,0.14712165532676053,0.0,0.9496727790053814,0.0,Review,0.28435261051036015,Review,No,
Am,driver,climate_drivers,persistence_heatwave,maximum_consecutive_hot_days,Maximum consecutive hot days,days,main,max_consec_hot_days_35c,False,,,,False,,100.0,0.0,7.0,,1.911506104650881,0.10221462747778536,0.003726884779516357,3.192379815887967,20.0,,,90.0,6.0,5.2631578947368425,auxiliary_screening_only,0,0,,,,,,,,,,,,,0.9452602281422335,same_subfamily,Yes,base,driver,7,5,3,1.0,0.004066798964492758,0.2015323983350703,0.0,0.9777623351651855,0.0,Review,0.29502809696830945,Keep,Yes,Driver block representative retained for persistence_heatwave
Am,response,building_responses,habitability,peak_operative_temperature_c,Peak operative temperature,C,main,rep_zone_operative_temp_c_max,False,,,,False,,100.0,26.93723788459444,0.028834110608936925,0.0010709915408895077,0.3378639248176478,4.5568975223466125e-05,0.00011064658636662847,0.12027498124363602,0.2955100063250704,,,90.0,26.938675304197687,10.526315789473685,auxiliary_screening_only,0,0,,76,0.14062518774039667,9.144430999490512,heatwave_days,0.3196434872759929,0.0036865809457012756,0.23804068967661748,-0.1954811659720695,-0.21913229556037878,0.005956679347180612,-0.3196434872759929,0.9999999495016619,same_subfamily,Yes,base,response,7,6,4,1.0,0.0,0.003423687771485498,0.0,1.0,0.0,Review,0.2606162637988674,Review,No,
