climate_type,city,role,family,subfamily,metric,label,block_decomposition_n,block_decomposition_r2,block_beta2_share_thermal_shift,block_beta2_share_demand_background,block_beta2_share_humid_heat_stress,block_beta2_share_solar_burden,block_beta2_share_persistence_heatwave,block_dominant,block_dominant_share
Csb,Los_Angeles,response,building_responses,operational_adequacy,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,76,0.8498294797563777,0.19001029953205947,0.5046865092945457,0.1762907698381547,0.12845286422749977,0.0005595571077403551,demand_background,0.5046865092945457
Csb,Los_Angeles,response,building_responses,operational_adequacy,heating_unmet_hours,Heating unmet hours,76,0.73038717411708,0.05759131697491444,0.8924621430378513,0.004385917027732754,0.045559715671046275,9.072884552831374e-07,demand_background,0.8924621430378513
Csb,Los_Angeles,response,building_responses,operational_adequacy,cooling_peak_demand_kw,Cooling peak demand,76,0.7049807797194847,0.02152638305201738,0.465263015488235,0.39983211764191245,0.03922864037408011,0.0741498434437551,demand_background,0.465263015488235
Csb,Los_Angeles,response,building_responses,energy_burden,annual_cooling_electricity_kwh,Annual cooling electricity,76,0.9605858616733546,0.3274415234321327,0.57537987790831,0.02630787200826864,0.07013128849397848,0.0007394381573103085,demand_background,0.57537987790831
Dfa,Toronto,response,building_responses,habitability,maximum_delta_t_k,Maximum delta_t,76,0.17149773642742194,0.10485137192009575,0.6864156941838495,0.06661966101433911,0.07539824005436657,0.06671503282734902,demand_background,0.6864156941838495
Dfa,Toronto,response,building_responses,habitability,annual_edh_c_h,Annual EDH,76,0.9048926239109784,0.06107663758693123,0.8655682348382613,0.011733490548045416,0.059674207016186503,0.0019474300105756254,demand_background,0.8655682348382613
Dfa,Toronto,response,building_responses,habitability,maximum_daily_edh_k_h,Maximum daily EDH,76,0.11367260565770965,0.3939838380570266,0.5932793700822665,0.0010886832990865195,0.004191916881077646,0.0074561916805428756,demand_background,0.5932793700822665
Dfa,Toronto,response,building_responses,habitability,daily_edh_exceedance_days,Daily EDH exceedance days,76,0.14395380639876487,0.379309687350329,0.6155003318784728,9.462037806162065e-05,1.8544025392263196e-06,0.00509350599059737,demand_background,0.6155003318784728
Dfa,Toronto,response,building_responses,operational_adequacy,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,76,0.7379404365078546,0.10332462150810495,0.7431489870261334,0.12167820224430816,0.0037317390472615002,0.028116450174191683,demand_background,0.7431489870261334
Dfa,Toronto,response,building_responses,operational_adequacy,heating_unmet_hours,Heating unmet hours,76,0.9442515881266602,0.19849508132778632,0.800927791165723,0.00027958470512116993,0.00029638757666539356,1.1552247040194354e-06,demand_background,0.800927791165723
Dfa,Toronto,response,building_responses,operational_adequacy,cooling_peak_demand_kw,Cooling peak demand,76,0.7071354255687077,0.20638367434004334,0.017361048650758337,0.7752578842576281,0.0003785961308917305,0.0006187966206785875,humid_heat_stress,0.7752578842576281
Dfa,Toronto,response,building_responses,energy_burden,annual_cooling_electricity_kwh,Annual cooling electricity,76,0.9731151769769029,0.09077026604264932,0.9037578955173963,0.004598477708401383,0.0008452691951380144,2.8091536415172683e-05,demand_background,0.9037578955173963
Dfb,Montreal,response,building_responses,habitability,maximum_delta_t_k,Maximum delta_t,76,0.21537015078167565,0.8306869055102163,0.06024583271283799,0.10412358093349057,0.004943680843455223,0.0,thermal_shift,0.8306869055102163
Dfb,Montreal,response,building_responses,habitability,annual_edh_c_h,Annual EDH,76,0.893831416162253,0.1236581552879852,0.8160024278039869,0.034869696171123794,0.02546972073690426,0.0,demand_background,0.8160024278039869
Dfb,Montreal,response,building_responses,habitability,maximum_daily_edh_k_h,Maximum daily EDH,76,0.03800303039048425,0.49096581222841995,0.49665239740245753,0.012330892874255157,5.08974948673553e-05,0.0,demand_background,0.49665239740245753
Dfb,Montreal,response,building_responses,habitability,daily_edh_exceedance_days,Daily EDH exceedance days,76,0.11427100751895847,0.17334887425418563,0.2701204855565626,0.5545716079905996,0.001959032198652078,0.0,humid_heat_stress,0.5545716079905996
Dfb,Montreal,response,building_responses,operational_adequacy,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,76,0.6892540093771522,0.08009612748113897,0.757139101624056,0.15766974101705258,0.00509502987775245,0.0,demand_background,0.757139101624056
Dfb,Montreal,response,building_responses,operational_adequacy,heating_unmet_hours,Heating unmet hours,76,0.951345588229161,0.2522435850782237,0.7420612641070377,0.005676400760426139,1.8750054312625637e-05,0.0,demand_background,0.7420612641070377
Dfb,Montreal,response,building_responses,operational_adequacy,cooling_peak_demand_kw,Cooling peak demand,76,0.621983013451046,0.35560671361803803,0.13326984456798888,0.5104781604857559,0.0006452813282171893,0.0,humid_heat_stress,0.5104781604857559
Dfb,Montreal,response,building_responses,energy_burden,annual_cooling_electricity_kwh,Annual cooling electricity,76,0.9786750681913315,0.0942124233325477,0.9047036430375724,0.0008318353486272597,0.00025209828125245543,0.0,demand_background,0.9047036430375724
