city,metric,slope_per_year,normalized_slope,r2,p_value,mean,std,abs_norm_slope
Phoenix,cooling_electricity_annual_gj,2.4848,0.00604597,0.815808,6.66486e-29,410.985,60.3509,0.00604597
Toronto,facility_heating_setpoint_not_met_time_total_hours,-1.98934,-0.00603612,0.61647,4.65563e-17,329.572,55.5825,0.00603612
Toronto,cooling_electricity_annual_kwh,322.101,0.00600514,0.687227,2.33461e-20,53637.6,8523.69,0.00600514
Toronto,cooling_electricity_annual_gj,1.15956,0.00600514,0.687227,2.33461e-20,193.095,30.6853,0.00600514
Toronto,heating_electricity_annual_gj,-1.02559,-0.00591868,0.619098,3.60267e-17,173.281,28.5944,0.00591868
Toronto,heating_electricity_annual_kwh,-284.887,-0.00591868,0.619098,3.60267e-17,48133.6,7942.89,0.00591868
Los_Angeles,daily_edh_max_k_h,0.0577075,0.00579627,0.183048,0.000115677,9.95599,2.95894,0.00579627
Montreal,facility_heating_setpoint_not_met_occupied_time_total_hours,-1.77697,-0.00575197,0.703683,3.12438e-21,308.932,46.4704,0.00575197
Montreal,abups_occupied_heating_not_met_hours,-1.77697,-0.00575196,0.70368,3.12557e-21,308.933,46.4705,0.00575196
Toronto,rep_zone_humidity_ratio_min,8.68172e-06,0.00549895,0.44065,6.32591e-11,0.0015788,0.000286909,0.00549895
Miami,facility_heating_setpoint_not_met_time_max_timestep_hours,-0.000767829,-0.00522582,0.0978389,0.00594025,0.14693,0.053851,0.00522582
Miami,facility_heating_setpoint_not_met_occupied_time_max_timestep_hours,-0.000767829,-0.00522582,0.0978389,0.00594025,0.14693,0.053851,0.00522582
Miami,fans_electricity_peak_kw,0.095821,0.00511041,0.435288,1.21306e-10,18.7502,3.14416,0.00511041
Miami,fans_electricity_peak_w,95.821,0.00511041,0.435288,1.21306e-10,18750.2,3144.16,0.00511041
Montreal,outdoor_drybulb_c_mean,0.0480387,0.00479457,0.832837,1.82232e-30,10.0194,1.15477,0.00479457
Toronto,annual_edh_c_h,1.04318,0.00478213,0.396173,1.1281e-09,218.142,36.3583,0.00478213
Toronto,facility_heating_setpoint_not_met_occupied_time_total_hours,-1.27352,-0.00476046,0.586982,7.3872e-16,267.52,36.4652,0.00476046
Toronto,abups_occupied_heating_not_met_hours,-1.27349,-0.00476036,0.58697,7.39489e-16,267.52,36.4649,0.00476036
Toronto,rep_zone_rh_pct_min,0.0439652,0.00471373,0.435578,8.88299e-11,9.32704,1.46137,0.00471373
Toronto,outdoor_wetbulb_c_mean,0.0378629,0.00470114,0.844777,1.16635e-31,8.054,0.903709,0.00470114
Miami,facility_hvac_electricity_demand_rate_mean_kw,0.149231,0.00467687,0.872613,7.66128e-35,31.9083,3.50457,0.00467687
Miami,cooling_electricity_annual_gj,4.11389,0.0046401,0.922685,2.55539e-42,886.596,92.7167,0.0046401
Miami,cooling_electricity_annual_kwh,1142.75,0.0046401,0.922685,2.55539e-42,246277,25754.6,0.0046401
Miami,abups_time_not_comfortable_simple_ashrae55_hours,11.8629,0.00456522,0.840466,8.11961e-31,2598.54,280.132,0.00456522
Miami,outdoor_wetbulb_c_min,0.0355452,0.00455156,0.159428,0.000352879,7.80944,1.95291,0.00455156
Los_Angeles,delta_t_max_k,0.00456433,0.00445365,0.220165,1.90656e-05,1.02485,0.213397,0.00445365
Phoenix,electricity_hvac_annual_kwh,657.754,0.00444111,0.770787,2.23642e-25,148106,16435.5,0.00444111
Phoenix,electricity_hvac_annual_gj,2.36792,0.00444111,0.770787,2.23642e-25,533.181,59.1677,0.00444111
Phoenix,facility_hvac_electricity_demand_rate_mean_kw,0.0750864,0.00443991,0.770793,2.23421e-25,16.9117,1.87619,0.00443991
Vancouver,outdoor_wetbulb_c_mean,0.0474312,0.00440436,0.743852,1.38774e-23,10.7692,1.20644,0.00440436
Miami,electricity_hvac_annual_kwh,1236.05,0.00439864,0.921915,3.67066e-42,281008,27869.2,0.00439864
Miami,electricity_hvac_annual_gj,4.44979,0.00439864,0.921915,3.67066e-42,1011.63,100.329,0.00439864
Los_Angeles,fans_electricity_annual_kwh,139.885,0.00435516,0.619731,3.386e-17,32119.4,3898.12,0.00435516
